source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,classprob_dsc_combmod_star,logg_gspphot,clase_real,e_Gmag,e_BPmag,e_RPmag,abs_mag_g
174340590925522688,70.99506282876887,35.83017752835693,0.5408380163920476,0.025440773,14.544,15.594014,13.535884,2.0581303,28664.671513011057,5.3845916,7903.349037575672,8.420289,30535.464594085108,15.535185,0.99999964,3.3108,Gigante,0.0002039462086680977,0.0011567131562635379,0.0005523593771033799,3.209334774654895
44833106315510784,55.15598916421082,18.164681090051452,1.7432349952379744,0.08251643,16.988377,18.471436,15.789686,2.6817493,3017.145075202321,2.934002,558.2677173654587,10.889171,3830.7494860870306,10.965418,0.99885,4.0937,Enana,0.0010557814781780989,0.021176887366653168,0.003107787187845395,8.19515629611401
17874421231032576,50.67998272863203,13.322081069978251,0.9421116320004538,0.026937803,14.827709,15.348033,14.138805,1.2092276,22073.08413147274,7.4456778,9912.964961545174,47.522213,17524.111065919078,14.645075,0.9999813,4.139,Enana,0.0003662275870880433,0.005204786543168419,0.000907330346099249,4.698221027723529
45199415485577856,62.37836067575877,15.399348330016165,1.454421326432735,0.03900313,15.269318,15.915274,14.483748,1.4315252,14696.695799360601,4.9160976,5879.05447689743,16.976084,12754.363555210208,23.043633,0.99997675,4.5229,Enana,0.0003631705576335308,0.0031350167285855023,0.0019615617592288062,6.082768797253443
43685456694244480,57.22286630341007,16.993742814988234,1.432564458177643,0.06948513,16.94325,17.795677,16.03389,1.7617874,3145.1854618140665,2.2607286,1040.269416255345,10.016609,3059.16031956944,16.55589,0.99992776,4.6468,Enana,0.0007803905582862335,0.010454053949588097,0.005875706713722853,7.723821516833144
178593162600493824,68.82568377177807,38.51896370128289,0.39567013451638067,0.019349812,14.026901,14.849456,13.134426,1.7150297,46151.541959586015,7.3585873,15690.4157947232,19.759674,44196.49854893189,33.928993,0.99999714,2.936,Gigante,0.00017310836982700176,0.001367272761979553,0.0008334757085723654,2.0135675982386907
5848787679995008,41.08351242222772,4.728530362930933,3.05904188454921,0.068263054,16.7284,17.900242,15.656161,2.2440805,3833.4249908661154,3.2373407,944.7576873451826,11.010723,4332.052093222351,17.879326,0.9976672,4.7488,Enana,0.0009168774122624426,0.012653341957425037,0.00448092120679838,9.156326393765434
51340497165517440,58.98361369463816,20.3241906050236,0.5444027916455187,0.015690213,13.459349,14.076308,12.704323,1.3719854,77840.81997187638,8.681424,31981.105144385874,25.723982,65679.38654445414,24.018608,0.99999297,2.5375,Gigante,0.0001210858543526811,0.0008732821138100388,0.00039703481075001226,2.138950396377016
179664151350947712,67.41282390081815,39.49089370140011,0.39225604105661516,0.017395597,13.729112,14.61784,12.799717,1.8181229,60715.84284539286,10.753065,19421.425825086728,23.311317,60154.94705013973,21.9919,0.99999833,3.0576,Gigante,0.00019228264390307775,0.0013031534129741157,0.00039691839902674357,1.6969589217368863
4457871111188096,47.296247886157396,6.6322506742836325,0.7363940681136748,0.035977602,15.598393,16.127348,14.90384,1.2235079,10853.989648096158,4.096182,4835.9086209134775,18.439106,8662.078161478626,20.390839,0.99998206,4.2707,Enana,0.00040973179447463694,0.004139726148692242,0.002555776232947655,4.9339438939079105
28375989931255808,44.08710356192319,12.138336105767406,1.4447037481203815,0.062123213,16.473005,17.217978,15.625269,1.5927086,4850.035633225328,3.607397,1771.0298813203526,9.485313,4457.083053299062,16.430513,0.9999062,4.6193,Enana,0.0008075303575808189,0.0058148114178403565,0.004002305580908562,7.2718992923827805
225027359709529600,55.24236139466549,40.623014270974764,0.7245986854021825,0.015018062,13.152139,13.748408,12.412861,1.3355474,103297.8341359698,11.906374,43256.71539376158,23.200798,85904.06269398106,34.374317,0.99999446,3.3821,Gigante,0.00012514057371746396,0.000582316669144781,0.00043444040922180815,2.452625465266026
62848432538487936,49.71632234091894,23.20303619340427,0.3559996890426632,0.015161773,13.201961,13.879818,12.404626,1.4751921,98664.89175000944,15.0132675,38325.650432306655,33.14125,86558.09031950515,31.321299,0.99999815,2.1892,Gigante,0.0001652047071070028,0.0009388348372902781,0.0003928637261251527,0.9592096104692232
135183240944653056,44.55059932673008,30.490515191578435,0.8039832637547477,0.021910494,13.428733,14.088005,12.63395,1.4540548,80066.9820938177,17.540728,31638.425883649168,27.253618,70077.44834848866,36.655735,0.9999979,3.3259,Gigante,0.00023785045313282714,0.0009352315261312292,0.0005679021203629117,2.9549688670961682
39527825273257472,57.816002899700884,14.214274826090719,1.1380829664436662,0.04367059,15.762475,16.457653,14.948741,1.5089121,9331.61754409983,3.1718564,3567.4330046511595,11.325981,8311.160659814253,13.051651,0.9999726,4.3475,Enana,0.0003690340373299332,0.0034469092223496033,0.0017049577155060008,6.043343676835713
160141708218664192,73.66620520391355,31.58964003941058,0.42960778393564686,0.01633483,13.507552,14.50242,12.521503,1.980917,74460.52163293288,11.752005,21599.741442465427,16.775164,77724.30224558938,28.820574,0.99999833,2.8504,Gigante,0.00017135458011613482,0.0008431950550831593,0.0004025831828394175,1.6729138086625355
5902182713430656,41.487037407599196,5.0880692567984,1.262832897566916,0.019149695,13.756003,14.039037,13.313775,0.7252617,59230.50232135929,14.515611,33098.03893304429,44.625538,37466.94955671372,25.103176,0.9998932,4.2608,Enana,0.000266072343029139,0.0014638313335114408,0.0007274282703188912,4.262733768514012
65250865445128448,55.64241165177395,23.885862015923966,0.5474169184171785,0.019268584,14.01795,14.771922,13.167572,1.6043501,46533.60125099432,10.892676,16851.861747674135,19.510704,42867.6220403399,25.509815,0.99998933,3.1897,Gigante,0.00025414277853023356,0.0012569988820211005,0.0006460821725548082,2.709541135718556
203587260925828480,70.855788567684,41.73553740890469,0.43949194626336546,0.021452758,14.246921,15.062704,13.363493,1.6992111,37685.861569363915,6.6647763,12892.440813541922,14.296597,35789.948745279115,15.257417,0.99999774,3.1971,Gigante,0.0001920069584445968,0.0012039469541848347,0.0004628388114327714,2.461676144257453
252258414439054976,68.15972793882094,42.65936870767763,0.5802931502835345,0.024003876,14.574374,15.25385,13.7626915,1.4911585,27873.8618002262,6.63535,10811.269953997202,22.612064,24778.880408563895,27.759031,0.9999925,3.2807,Gigante,0.0002584500057247863,0.002270770999320231,0.0012162769173141633,3.3926123737405405
358304897889746432,32.08812906004005,50.07318571849329,0.33223588929878145,0.016416224,13.162194,13.841178,12.365818,1.4753599,102345.53417006404,16.496899,39714.1746253344,36.864883,89707.93870179361,33.145054,0.99999833,2.9163,Gigante,0.00017500209472513703,0.001007806515174503,0.00040114158791734706,0.7694260217363187
23149431344512640,38.30581828591694,9.178849308077275,2.7629290587566446,0.036220863,14.479444,15.114481,13.718252,1.3962288,30420.708786365158,10.865134,12292.058841196322,20.09723,25814.109732132347,25.996378,0.9998262,4.5601,Enana,0.00038777124906383317,0.0017750943013079366,0.0010933659083232213,6.686291266790711
44496243440638208,55.94500068284001,17.25720730531744,1.1333429602254252,0.02544121,14.3852415,14.787612,13.806289,0.98132324,33178.00372231184,8.041944,16610.090050564075,15.626033,23803.602610263995,18.78145,0.99997246,4.2888,Enana,0.00026316044164172197,0.001021378197897141,0.000856635900613238,4.657049218866858
341483164556638208,36.93605347524105,44.87468599363827,0.5252487797547056,0.019369345,13.361853,13.904074,12.668762,1.2353115,85154.15329767164,101.18731,37478.9434990483,179.7674,67866.19448927313,268.92065,0.9999732,3.2567,Gigante,0.0012901198287431368,0.005207549694608151,0.004302099986117025,1.9636779065575176
46716019978821632,60.28576794390006,18.04351097014051,0.9913181743069006,0.028560046,14.669954,15.238654,13.945894,1.2927599,25524.956931903456,5.101706,10963.653117104497,15.447187,20931.49972160493,20.044981,0.99998087,4.1361,Enana,0.00021700025780101682,0.0015296919016667039,0.0010397169894274332,4.6510196418183085
64066691423120640,57.5311767470909,22.47280818024406,1.9283943991861825,0.012316966,12.098069,12.704969,11.354147,1.3508224,272721.42327044636,43.06288,113091.23182323328,51.62454,227771.50260313047,56.068943,0.99998873,3.4328,Gigante,0.00017143270173285502,0.0004956066041615975,0.00026725929602737985,3.524047544560979
20058841597655040,38.370535805802895,8.257516102547775,0.9655287124509475,0.033864655,14.970671,15.301852,14.459999,0.84185314,19349.886342500813,7.881332,10343.698908600847,16.87114,13036.424991973967,16.793648,0.9999862,4.5447,Enana,0.00044221252335869524,0.0017708361724011676,0.001398609157870695,4.894496665863143
255042446597475456,74.61476943456618,47.1111706651222,0.3478901598171034,0.013402457,12.746572,13.666707,11.804115,1.8625917,150078.4223812455,26.566406,46637.363362808144,29.619904,150491.50027873603,56.872684,0.9999989,2.5712,Gigante,0.00019218716993409292,0.0006895400378824167,0.0004103000729225509,0.45378131098279084
187061051404815360,79.33017131412481,36.76309753324476,0.43384453326270417,0.017257348,13.426796,14.304854,12.502561,1.8022938,80209.98740173144,17.7644,25910.47018909539,31.169687,79092.22079866605,45.924255,0.99999815,2.8039,Gigante,0.00024045396624864743,0.0013060716082448861,0.0006304028835315927,1.613466606549391
279089762330943872,71.05583353759515,59.194898876326306,0.47468226061290736,0.01979442,14.079279,15.009417,13.131139,1.8782778,43977.95885417577,10.643058,13540.989226243979,15.163738,44330.5111270348,23.911219,0.99999815,2.9127,Gigante,0.0002627490720281712,0.0012158100374906509,0.0005856104389709567,2.461293955769335
3203156545203712,48.450062130397434,4.847666268692422,2.114945197694228,0.029445847,15.175574,15.853765,14.38319,1.4705744,16022.00872118493,5.9621196,6221.730724988456,24.957397,13992.080167793225,15.333918,0.99994546,4.5879,Enana,0.00040401134089407563,0.004355097901378578,0.0011898183942630162,6.802070848597181
27594413258258432,46.62442238047123,11.061098556713825,3.9671363924366463,0.033649884,15.004426,15.943435,14.043168,1.9002666,18757.565280368395,6.5889716,5728.526947959336,19.573046,19137.751138336047,18.24644,0.99885,4.6657,Enana,0.0003813739350125688,0.0037095846703265435,0.0010351352532650894,7.996810708955797
44373544815153920,55.11502035636444,17.437426707891486,1.1351323623463894,0.025627201,14.74863,15.164795,14.148583,1.0162115,23740.769722838646,8.057319,11735.42430484745,19.311615,17366.996119807478,27.86442,0.99997205,4.4369,Enana,0.0003684729265764733,0.0017866094868199153,0.0017419478024321411,5.023863051085222
46720933421403904,60.36931885528357,18.036044481719127,10.58565965662461,0.020159047,12.778608,13.6316,11.873469,1.758131,145714.7247161038,29.052916,48170.001955803455,36.089397,141179.13596537773,60.98674,0.9995907,4.6626,Enana,0.00021646920377601711,0.0008134161760291623,0.0004690020468475393,7.902197955746649
257866370418595584,65.76365104475896,47.006536583580896,0.505981068203914,0.020889962,14.039265,15.174149,12.99271,2.1814384,45628.996748729514,11.111944,11634.761123029974,14.22844,50358.65147811302,23.334915,0.99999964,2.9252,Gigante,0.0002643984894707345,0.0013277296760784115,0.0005030856992160111,2.559936016826132
33751742798037248,42.32660763089679,16.55337204843057,0.9905318186589441,0.0400503,15.495046,15.917625,14.905093,1.0125322,11937.911652182842,4.6913214,5866.3320088219325,14.312353,8652.090074531921,17.609324,0.99990845,4.5902,Enana,0.0004266548256553236,0.002648830951672114,0.002209690648268849,5.474386862526606
127324103627513600,37.65618158670601,26.687925944684853,1.0280418960079822,0.015911812,11.629212,12.182925,10.926186,1.2567396,420011.9179798097,72.22996,182913.89235303903,129.5998,337818.99042171123,171.13396,0.99999297,3.1953,Gigante,0.00018670914226055527,0.0007692499070790626,0.0005499990891108745,1.6892654953534052
2474695732118528,48.49157397765627,3.593198412738349,1.6608585918218997,0.07105415,16.977968,17.880674,16.060331,1.820343,3046.2074370689547,2.8094437,961.9384053795533,11.544086,2985.556483327955,10.876724,0.99990124,4.6055,Enana,0.001001314946991231,0.013029331811175908,0.0039553294592638445,8.079631503407775
39325923153633664,60.70942157916765,15.187452343922809,2.5518828052094804,0.0155970575,12.112018,12.649174,11.415261,1.2339125,269240.09064545017,49.71776,119054.88604792324,55.860863,215304.7887899906,61.70313,0.9999644,4.0643,Enana,0.0002004848903639256,0.0005094132687981203,0.000311145364348864,4.146322213233752
188541230276991232,76.65724685220344,39.43396139366163,0.3490561730212337,0.015420037,13.428547,14.10923,12.62133,1.4878998,80080.72790319301,13.7456,31025.944814444127,26.591518,70896.72725942562,31.574562,0.9999942,2.7721,Gigante,0.00018635691802199023,0.0009305248140491415,0.00048352728493304854,1.1430235198274374
120506375621246592,52.03802022865982,29.28596378476582,1.3811426743173223,0.024278603,11.041306,11.829279,10.171173,1.6581059,721812.8047714053,189.52644,253340.84773971996,164.27718,677156.4856972287,202.486,0.99999815,2.9095,Gigante,0.00028507233222742736,0.0007040148932535187,0.00032465027896273746,1.7424982631553974
378511173542144,43.92873945852731,1.2224002188166154,2.1331213498945494,0.056021944,12.323927,12.698234,11.767738,0.93049526,221501.16881082236,77.75733,113795.07511092594,134.06993,155619.05450726283,129.7547,0.999961,4.1491,Enana,0.0003811317820161579,0.0012791390486598668,0.0009052533953375815,3.969004738045797
259260035768396800,70.54060590253208,49.353561653074415,0.48714940240044635,0.018587526,12.314761,13.370542,11.306656,2.0638857,223378.93210304502,37.980907,61263.28273415368,43.17817,237955.62488327204,90.46466,0.99999946,2.254,Gigante,0.00018460053873293333,0.0007651979499479352,0.00041275545434131967,0.753072986104474
15555241970392832,46.817928369062535,10.673309169849842,1.956397652502415,0.019632714,13.851984,14.281431,13.251115,1.0303164,54219.193029527545,11.672881,26475.51323815046,35.85566,39692.863360517666,41.647736,0.9999622,4.3647,Enana,0.00023374097493547753,0.0014703582571770968,0.001139170689843253,5.309269689228088
14675735747350912,46.84709578530964,8.855504891555388,1.2347135951186021,0.013338761,12.859025,13.505611,12.084041,1.4215708,135312.1382282666,36.546005,54096.908122511966,60.296062,116289.84531207071,57.92046,0.9999942,2.9437,Gigante,0.0002932331010240148,0.001210114169091949,0.0005407543795325009,3.3168551982406527
