phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,e_Gmag,e_BPmag,e_RPmag,clase_real
15.117937,15.663805,14.406987,1.2568178,0.00027887210842,0.0018145427851472,0.0013411570862375,Enana
13.493491,14.367824,12.573623,1.7942009,0.0001750629160616,0.0009294689865623,0.0004773491851238,Gigante
14.586174,15.370413,13.703035,1.6673775,0.0008790007580395,0.0022180370981794,0.0012858397472739,Enana
12.421859,13.370923,11.465813,1.9051104,0.0001676562454852,0.0004905339947365,0.0002936651620177,Gigante
16.247408,16.728283,15.214817,1.5134659,0.0016675166513866,0.0261129803216547,0.0158653397878102,Enana
10.636863,11.146522,9.9671545,1.1793671,0.0001216251472387,0.0004615268844223,0.0003303261366417,Gigante
11.522651,11.838858,11.0379305,0.80092716,0.0003604479344957,0.0006885417129125,0.0004304532046188,Enana
17.433664,19.182566,16.213804,2.9687614,0.0015190858901816,0.0461373181572563,0.0083030088882893,Enana
16.399553,17.441095,15.38619,2.054905,0.0007502548006855,0.009676791033965,0.0052129597437258,Enana
11.462044,12.324108,10.548149,1.775959,0.0002379220062234,0.0006393236122938,0.000239762466056,Gigante
13.858943,15.653504,12.598248,3.0552568,0.0003550617347019,0.0019409784607031,0.0007324625610297,Gigante
16.940294,18.444029,15.746569,2.6974602,0.0011608452949257,0.0215386050252538,0.0054085640104944,Enana
12.751984,13.227985,12.102837,1.1251488,0.0002771977457508,0.0008250117640848,0.000611156377005,Enana
11.234143,12.252559,10.243241,2.0093174,0.0003174765199799,0.000682753252738,0.0002902913179061,Gigante
16.47719,17.302267,15.610566,1.6917009,0.0008238246953915,0.0088094510644764,0.0035599791303778,Enana
12.477178,13.1426935,11.694157,1.4485369,0.0001913271356514,0.0007778110072776,0.0003541739615681,Gigante
10.811796,11.737659,9.863261,1.8743982,0.0002680710455819,0.0009208870993755,0.0004484422895142,Gigante
15.443248,15.927017,14.783132,1.1438856,0.000404508926442,0.0030433557921574,0.0019086470387534,Enana
9.212874,9.801801,8.480633,1.321168,0.0001625080243888,0.0007463344690278,0.0003905430622175,Gigante
12.019189,12.757858,11.185609,1.5722494,0.000450370531573,0.0018870030596725,0.0011054122867663,Enana
14.298976,14.768466,13.648011,1.1204548,0.0005021736754432,0.0012026405763751,0.0014826146768939,Enana
15.857517,17.057674,14.784517,2.2731571,0.0006119986697917,0.0083875427579451,0.0019798790434155,Enana
14.15754,14.65219,13.493414,1.1587763,0.000462275184433,0.0019180602496298,0.0015058150545627,Enana
13.958002,14.78859,13.049611,1.7389793,0.0034176818525807,0.0120076887657499,0.0098274011574653,Gigante
16.183384,17.232817,15.170291,2.0625257,0.0006886001202618,0.007692485044787,0.0020140875209929,Enana
9.150851,9.692919,8.455525,1.2373934,0.0002587304971723,0.0013475206423037,0.0008719299958724,Gigante
12.200558,13.1186075,11.262805,1.8558025,0.0001735961732714,0.0008258596647471,0.000287811123814,Gigante
14.343387,14.921575,13.62166,1.2999144,0.0002666068727664,0.001825336415606,0.0008996013074755,Enana
11.613913,12.193328,10.887815,1.3055124,0.000224195832341,0.0010428353655504,0.0005791403402804,Gigante
13.404812,13.994984,12.665601,1.3293829,0.0002465873609659,0.0011094369701138,0.0005922157451454,Enana
9.913864,10.529201,9.164358,1.3648424,0.0002541258370438,0.0005004243039277,0.0002659717081907,Gigante
17.188318,18.691624,15.999712,2.6919117,0.0008279763131539,0.0217024294574001,0.0027964184477967,Enana
13.4745455,14.512981,12.468944,2.0440378,0.0002387054870625,0.0007258155785038,0.0003379433783942,Gigante
14.057754,15.115668,13.038216,2.0774527,0.0007876017939308,0.0032223778030094,0.0013967614174541,Enana
15.717525,16.27657,15.005325,1.271244,0.000462771580847,0.0040101830478193,0.0018158777964803,Enana
14.646986,15.17318,13.964912,1.2082672,0.0003008355652916,0.0014599582663649,0.0014641994600783,Enana
14.069989,14.656234,13.336815,1.3194189,0.0001538783154959,0.0008314095451954,0.0005624779254692,Gigante
12.688943,13.3897085,11.876827,1.5128813,0.0001456005631589,0.0009864659754954,0.0002957454168054,Gigante
13.0534935,13.775021,12.223476,1.5515442,0.0001431492253798,0.0007339449803742,0.0003882617469454,Gigante
14.179545,14.940777,13.3255625,1.6152143,0.0001778595566766,0.0014053676807394,0.0006137837048237,Gigante
13.68398,14.183442,13.030347,1.1530952,0.0001579184071676,0.0009194001210708,0.0005456805469388,Gigante
12.969392,13.385183,12.384232,1.0009518,0.0003430710655068,0.0017268939721186,0.0005976826633633,Enana
15.040181,15.578432,14.350055,1.2283773,0.000478069066087,0.0058863177363783,0.001658880789872,Enana
16.038006,16.796898,15.188247,1.6086512,0.000505831305133,0.0066443720263832,0.0020915252332673,Enana
12.297555,12.800264,11.640019,1.160245,0.0002329911572024,0.0007274854066546,0.0003787432866115,Gigante
12.730204,13.188166,12.101582,1.0865841,0.0002134010862766,0.00060872337895,0.0008057842564424,Gigante
12.798683,13.8248415,11.802192,2.0226498,0.0001619218646645,0.0006890234770354,0.0003648839882978,Gigante
14.683531,15.370521,13.873756,1.4967642,0.0004388273982692,0.0023439510721925,0.0014120989704189,Gigante
15.294481,15.704426,14.714122,0.990304,0.0004561175893051,0.0034483643625195,0.0019271880285935,Enana
8.840783,9.390417,8.136773,1.253644,0.0002165953493119,0.00058876643101,0.0003588883879857,Gigante
15.137376,15.733074,14.376577,1.3564968,0.0002512786528638,0.0018245871371352,0.0014049246674134,Enana
12.632894,13.444691,11.749044,1.6956463,0.0001849538433859,0.0006981140791683,0.0004343144882671,Gigante
13.188095,13.941693,12.340184,1.6015091,0.0001627063323477,0.0006821798479984,0.0003940968085477,Gigante
15.230325,15.971778,14.392078,1.5796995,0.0004154781580947,0.0029005699771536,0.0017460117137259,Enana
16.923294,18.306143,15.768579,2.5375643,0.0009148861144927,0.011906032468782,0.0044636281986906,Enana
13.538496,14.174098,12.773979,1.4001188,0.0001381042681445,0.0006718130057383,0.0003826790262829,Gigante
7.6238165,7.6887145,7.3646474,0.32406712,0.0015346335768091,0.0006850230104732,0.0006394247663103,Gigante
14.328795,14.902816,13.611373,1.2914429,0.000324977627837,0.0016788440601107,0.0009073353862149,Enana
13.572812,14.189059,12.815421,1.3736382,0.0001745692230453,0.0011214391745716,0.0004620096752071,Gigante
12.740284,13.479155,11.904467,1.574688,0.0001864219829618,0.000506170433492,0.0005235180509898,Gigante
17.358362,18.74179,16.197891,2.5438995,0.0008501313605527,0.0253567350295045,0.0042730859935209,Enana
15.066671,15.52482,14.430081,1.094739,0.0003920287463885,0.0033366527730186,0.001804427322011,Enana
12.208907,13.045631,11.311797,1.7338343,0.0001752137876084,0.0008019967136712,0.0003376548232632,Gigante
